x,y,value
-0.1127769947052002,-0.24954748153686523,Danielle Darrieux
0.5906975865364075,-0.12343624234199524,Edwin of Northumbria
0.0223687756806612,-0.25415337085723877,Toko Yasuda
-0.4402550458908081,0.5518249273300171,Autonomous University of Madrid
0.19483107328414917,0.6066601276397705,Lyon
-0.5609501600265503,0.5929031372070312,Thomas Joannes Stieltjes
-0.14417573809623718,-0.41142573952674866,Anaal Nathrakh
0.23655158281326294,-0.06819985806941986,Apple A5
-0.6129055619239807,0.6901330351829529,Wellington
0.19564665853977203,0.032485850155353546,Shree Pundalik
-0.17534182965755463,-0.3712154030799866,BBC One
-0.10224861651659012,-0.09654198586940765,Andreas Ivanschitz
-0.39984700083732605,0.6160650253295898,Michel Denisot
0.5502769351005554,0.13803602755069733,Ferrari F40
-0.1786174476146698,-0.31985238194465637,Go Hyeon-jeong
0.032973114401102066,-0.1571478247642517,Percy Snow
-0.4532506763935089,-0.028106754645705223,Saint Petersburg
-0.1690508872270584,0.11645594984292984,The Icelandic Dream
-0.41667643189430237,-0.036268193274736404,Porsche 911
0.045310840010643005,-0.2113874852657318,Robert William Muench
-0.3125450313091278,0.09769240766763687,Inner Circle railway line
-0.23285259306430817,0.09015707671642303,Argentine Football Association
-0.2235022336244583,0.022063789889216423,Monell Chemical Senses Center
0.034729961305856705,-0.13093684613704681,Charles Alfred Pillsbury
-0.5761580467224121,0.4673507511615753,Heath Brothers
-0.30627450346946716,-0.1422884464263916,Platform Controller Hub
0.13204754889011383,-0.07192926853895187,Billy Roche
0.12915626168251038,-0.35826754570007324,Jean Gaven
-0.29428496956825256,-0.15536420047283173,Pidgeon Island
-0.35547325015068054,-0.1580681949853897,Kryvyi Rih
-0.6406545639038086,0.6754924058914185,Leonardo Balada
-0.2300136387348175,-0.0452086515724659,controller.controller
-0.40984007716178894,0.42333126068115234,Sylvano Bussotti
0.03292476385831833,-0.32190436124801636,Majorette
0.3567119538784027,0.15564997494220734,Laurent Cars
0.07106942683458328,-0.12213533371686935,Ferrari Mondial
-0.1355978101491928,-0.1349554806947708,Symeon of Polotsk
-0.4490818381309509,0.14975595474243164,Triumph TR8
-0.24086998403072357,-0.22005632519721985,Jeep Commander
-0.2887611985206604,-0.2706029415130615,The Loner
0.22000570595264435,0.07864344120025635,Kharkiv
0.37515005469322205,0.17057767510414124,Mahmoud Fawzi
-0.617108166217804,0.5246356725692749,Arun Nehru
-0.06276427954435349,-0.13793353736400604,Howard Glacier
-0.4525599479675293,-0.06846185028553009,Gilad Atzmon
-0.1878339797258377,-0.30279815196990967,Emilio Lussu
0.38996583223342896,0.30394530296325684,Maso da San Friano
-0.5403984189033508,0.40371012687683105,Jean-Baptiste Marchand
0.3368934392929077,0.36572933197021484,IBM Connections
-0.03849504888057709,-0.30492863059043884,Nissan Laurel
0.5595017075538635,-0.0874023586511612,Webley & Scott
-0.4670477509498596,0.48231837153434753,Prydz Bay
0.012818504124879837,-0.42332759499549866,Jean Galland
0.008635752834379673,-0.271001935005188,Pochepsky District
-0.2602388560771942,0.0028754440136253834,Tapio Kantanen
-0.5379635095596313,0.4488678276538849,John James Rickard Macleod
-0.1894208937883377,-0.0535808689892292,Toyota Cresta
0.4263607859611511,-0.05501450598239899,Gilles Grimandi
-0.4845944046974182,0.12205803394317627,Northwest Territories
0.5814740061759949,0.3348734378814697,Eli Maor
0.4074980318546295,0.09659799188375473,Carol Zhao
0.6971107125282288,0.22588948905467987,Henry Mackenzie
-0.11511825025081635,-0.19410787522792816,Centocelle Airport
-0.034723587334156036,-0.037304580211639404,James Hardiman
-0.3664219379425049,-0.04060564562678337,Gregg Edelman
0.004288668744266033,-0.16637307405471802,Mayer Carl von Rothschild
0.04668077826499939,-0.18451948463916779,Kuala Langat
-0.3436830937862396,-0.23085181415081024,Nykarleby
0.24663898348808289,0.18381306529045105,Ryan Archibald
0.03632552921772003,-0.15273147821426392,Dateline NBC
0.6715072393417358,0.2917148768901825,Beirut
-0.25176751613616943,-0.2027479112148285,San Marino Football Federation
0.406722754240036,0.22078050673007965,Cao Yunding
0.7550327181816101,0.4915030002593994,Lee Alvin DuBridge
